NIFTY Close,Dip Probability,Rule-Based Score,ML Signal,Rule Signal,Signal,RunDate,TargetDate,PredClass,QuickActual,QuickError,QuickCorrect,FinalActual,FinalError,FinalCorrect
24353.55078125,0.0486622569058521,0.0,NO DIP,NO DIP,NO DIP,2026-04-17,2026-04-17,0.0,0.0,0.0,1.0,0.0,0.0,1.0
24353.55078125,0.1248073886403109,0.0,NO DIP,NO DIP,NO DIP,2026-04-17,2026-04-20,0.0,0.0,0.0,1.0,0.0,0.0,1.0
24364.849609375,0.1111925695035568,0.0,NO DIP,NO DIP,NO DIP,2026-04-20,2026-04-21,0.0,0.0,0.0,1.0,,,
24576.599609375,0.049360370086714365,0.0,NO DIP,NO DIP,NO DIP,2026-04-21,2026-04-22,0.0,,,,,,
