TotalRuns,QuickResolved,QuickAccuracy,QuickLast20,QuickPrev20,QuickTrend,FinalResolved,FinalAccuracy,FinalLast20,FinalPrev20,FinalTrend,ReportGeneratedAtUTC,LatestRunDate,LatestTargetDate
2,1,1.0,1.0,,insufficient_data,0,,,,insufficient_data,,,
2,1,1.0,1.0,,insufficient_data,0,,,,insufficient_data,2026-04-18T18:17:59.246677+00:00,2026-04-17,2026-04-20
2,1,1.0,1.0,,insufficient_data,0,,,,insufficient_data,2026-04-18T18:27:11.724192+00:00,2026-04-17,2026-04-20
3,2,1.0,1.0,,insufficient_data,1,1.0,1.0,,insufficient_data,2026-04-20T20:29:06.687538+00:00,2026-04-20,2026-04-21
4,3,1.0,1.0,,insufficient_data,2,1.0,1.0,,insufficient_data,2026-04-21T20:35:59.178623+00:00,2026-04-21,2026-04-22
5,4,0.75,0.75,,insufficient_data,3,1.0,1.0,,insufficient_data,2026-04-22T21:12:57.686321+00:00,2026-04-22,2026-04-23
