TrainedAtUTC,ModelType,DecisionThreshold,PurgeGapDays,FeatureCount,TotalFeatureRows,TrainRowsUsed,DataStartDate,DataEndDate,TrainWindowStartDate,TrainWindowEndDate,LabelRowsNonNull,LabelPositiveRows,LabelPositiveRate,CVSplits,ReboundHorizonDays,AvgPrecision,AvgRecall,AvgF1,AvgBalancedAccuracy,AvgROCAUC,AvgPRAUC,AvgBrier,AvgTrainF1,AvgF1Gap,ConfigSnapshot
2026-04-18T18:27:11.609982+00:00,ensemble,0.5,15,36,4485,4425,2008-01-01,2026-04-17,2008-01-01,2026-04-16,4484,412,0.0918822479928635,5,15,0.4664841778295476,0.4737454316404748,0.4298123471942179,0.7134869604525655,0.9472426892015952,0.5199614424222085,0.0528160573028303,0.6646525457665455,0.2348401985723276,"{""base_dir"": ""/home/yuk/Projects/niftyPrediction"", ""bollinger_std"": 2.0, ""bollinger_touch_buffer"": 0.01, ""bollinger_window"": 20, ""calibrate_probabilities"": false, ""cv_splits"": 5, ""decision_threshold"": 0.5, ""drawdown_20_threshold"": 0.05, ""drawdown_60_threshold"": 0.08, ""label_mode"": ""rebound"", ""local_bottom_tolerance"": 0.01, ""market_close_hour"": 15, ""market_close_minute"": 45, ""market_timezone"": ""Asia/Kolkata"", ""max_additional_drawdown"": 0.04, ""max_rebound_wait_days"": 10, ""ml_dip_zone_threshold"": 0.65, ""ml_watch_threshold"": 0.45, ""model_type"": ""ensemble"", ""prediction_log_key"": ""TargetDate"", ""quick_eval_drop_threshold"": -0.003, ""random_state"": 42, ""rebound_horizon_days"": 15, ""rebound_threshold"": 0.03, ""refresh_data"": false, ""retrain"": true, ""rsi_period"": 14, ""rsi_threshold"": 35.0, ""rule_dip_zone_threshold"": 0.75, ""rule_watch_threshold"": 0.5, ""start_date"": ""2008-01-01"", ""ticker"": ""^NSEI""}"
2026-04-20T20:29:06.572650+00:00,ensemble,0.5,15,36,4486,4426,2008-01-01,2026-04-20,2008-01-01,2026-04-17,4485,412,0.0918617614269788,5,15,0.4907989833274463,0.4682233937654958,0.4396179241912464,0.7115619288554964,0.948239931126324,0.5309746342729228,0.0523245531247276,0.6645426795558437,0.2249247553645972,"{""base_dir"": ""/home/yuk/Projects/niftyPrediction"", ""bollinger_std"": 2.0, ""bollinger_touch_buffer"": 0.01, ""bollinger_window"": 20, ""calibrate_probabilities"": false, ""cv_splits"": 5, ""decision_threshold"": 0.5, ""drawdown_20_threshold"": 0.05, ""drawdown_60_threshold"": 0.08, ""label_mode"": ""rebound"", ""local_bottom_tolerance"": 0.01, ""market_close_hour"": 15, ""market_close_minute"": 45, ""market_timezone"": ""Asia/Kolkata"", ""max_additional_drawdown"": 0.04, ""max_rebound_wait_days"": 10, ""ml_dip_zone_threshold"": 0.65, ""ml_watch_threshold"": 0.45, ""model_type"": ""ensemble"", ""prediction_log_key"": ""TargetDate"", ""quick_eval_drop_threshold"": -0.003, ""random_state"": 42, ""rebound_horizon_days"": 15, ""rebound_threshold"": 0.03, ""refresh_data"": false, ""retrain"": true, ""rsi_period"": 14, ""rsi_threshold"": 35.0, ""rule_dip_zone_threshold"": 0.75, ""rule_watch_threshold"": 0.5, ""start_date"": ""2008-01-01"", ""ticker"": ""^NSEI""}"
2026-04-21T20:35:59.063227+00:00,ensemble,0.5,15,36,4487,4427,2008-01-01,2026-04-21,2008-01-01,2026-04-20,4486,414,0.0922871154703522,5,15,0.4842592113252445,0.4619087967664225,0.4285252312900875,0.7077170099369443,0.9476328110605272,0.5297186628687945,0.0529935671928631,0.6653335588129281,0.2368083275228406,"{""base_dir"": ""/home/yuk/Projects/niftyPrediction"", ""bollinger_std"": 2.0, ""bollinger_touch_buffer"": 0.01, ""bollinger_window"": 20, ""calibrate_probabilities"": false, ""cv_splits"": 5, ""decision_threshold"": 0.5, ""drawdown_20_threshold"": 0.05, ""drawdown_60_threshold"": 0.08, ""label_mode"": ""rebound"", ""local_bottom_tolerance"": 0.01, ""market_close_hour"": 15, ""market_close_minute"": 45, ""market_timezone"": ""Asia/Kolkata"", ""max_additional_drawdown"": 0.04, ""max_rebound_wait_days"": 10, ""ml_dip_zone_threshold"": 0.65, ""ml_watch_threshold"": 0.45, ""model_type"": ""ensemble"", ""prediction_log_key"": ""TargetDate"", ""quick_eval_drop_threshold"": -0.003, ""random_state"": 42, ""rebound_horizon_days"": 15, ""rebound_threshold"": 0.03, ""refresh_data"": false, ""retrain"": true, ""rsi_period"": 14, ""rsi_threshold"": 35.0, ""rule_dip_zone_threshold"": 0.75, ""rule_watch_threshold"": 0.5, ""start_date"": ""2008-01-01"", ""ticker"": ""^NSEI""}"
2026-04-22T21:12:57.594492+00:00,ensemble,0.5,15,36,4488,4428,2008-01-01,2026-04-22,2008-01-01,2026-04-21,4487,414,0.09226654780476934,5,15,0.48468642167822096,0.4637941662988509,0.4331483256432547,0.7088235809023187,0.9474380216368106,0.5249418092430045,0.0525816115428495,0.6650270715182192,0.2318787458749645,"{""base_dir"": ""/home/yuk/Projects/niftyPrediction"", ""bollinger_std"": 2.0, ""bollinger_touch_buffer"": 0.01, ""bollinger_window"": 20, ""calibrate_probabilities"": false, ""cv_splits"": 5, ""decision_threshold"": 0.5, ""drawdown_20_threshold"": 0.05, ""drawdown_60_threshold"": 0.08, ""label_mode"": ""rebound"", ""local_bottom_tolerance"": 0.01, ""market_close_hour"": 15, ""market_close_minute"": 45, ""market_timezone"": ""Asia/Kolkata"", ""max_additional_drawdown"": 0.04, ""max_rebound_wait_days"": 10, ""ml_dip_zone_threshold"": 0.65, ""ml_watch_threshold"": 0.45, ""model_type"": ""ensemble"", ""prediction_log_key"": ""TargetDate"", ""quick_eval_drop_threshold"": -0.003, ""random_state"": 42, ""rebound_horizon_days"": 15, ""rebound_threshold"": 0.03, ""refresh_data"": false, ""retrain"": true, ""rsi_period"": 14, ""rsi_threshold"": 35.0, ""rule_dip_zone_threshold"": 0.75, ""rule_watch_threshold"": 0.5, ""start_date"": ""2008-01-01"", ""ticker"": ""^NSEI""}"
