Date,Open,High,Low,Close,Adj Close,Volume,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,ma_5,ma_10,ma_20,ma_50,dist_ma20,dist_ma50,vol_5,vol_10,vol_20,roll_high_20,roll_high_60,drawdown_20,drawdown_60,roll_min_10,roll_max_10,roll_min_20,roll_max_20,rsi,macd,macd_signal,bb_mid,bb_upper,bb_lower,bb_dist_lower,candle_body,candle_range,upper_wick,lower_wick,bullish_candle,bearish_candle,hammer_like,doji_like,close_above_ma50,label,rule_score,rule_hits,rule_signal
2008-01-15,6226.35009765625,6260.4501953125,6053.2998046875,6074.25,6074.25,0,-0.021355579180658557,-0.013432006543671937,-0.033970291011846454,-0.011408871002156817,,6182.02001953125,6210.92998046875,,,,,0.012411656709445374,0.011118197769246852,,,,,,6074.25,6287.85009765625,,,,8.571806136778832,16.644324167916142,,,,,-0.024428452507594164,0.03326995549173768,0.0054767395217763465,0.003364763462367168,0,1,0,0,0,0.0,0.25,1,NO DIP
2008-01-16,6065.0,6065.0,5825.75,5935.75,5935.75,0,-0.02280116886858463,-0.04263642416937419,-0.053611288265306145,-0.039429379259195874,,6114.77001953125,6186.564990234375,,,,,0.013879859184642847,0.01272109436887593,,,,,,5935.75,6287.85009765625,,,,-11.950522957225985,10.925354742887716,,,,,-0.021310799670239078,0.03944765045342127,0.0,0.018136850783182192,0,1,0,0,0,0.0,0.25,1,NO DIP
2008-01-17,5937.9501953125,6013.14990234375,5880.2998046875,5913.2001953125,5913.2001953125,0,-0.003798981541928148,-0.04730289659951137,-0.03958940583693127,-0.04294690789312505,,6066.02001953125,6160.030029296875,,,,,0.013442449902029691,0.012651951438060341,,,,,,5913.2001953125,6287.85009765625,,,,-29.691927345466866,2.8018983252167997,,,,,-0.0041681050170373594,0.02237305691130985,0.012664253582088595,0.005540698312183895,0,1,0,0,0,0.0,0.25,1,NO DIP
2008-01-18,5907.75,5908.75,5677.0,5705.2998046875,5705.2998046875,0,-0.035158693052504186,-0.06074004120879117,-0.07980521042810151,-0.09068741018318938,,5967.0599609375,6103.130029296875,,,,,0.014847368650428804,0.013918869634111942,,,,,,5705.2998046875,6287.85009765625,,,,-59.83816505168943,-9.726114350164446,,,,,-0.034268578614954935,0.03922813253776818,0.00016926918031399434,0.00479028474249926,0,1,0,0,0,0.0,0.25,1,NO DIP
2008-01-21,5705.0,5705.0,4977.10009765625,5208.7998046875,5208.7998046875,0,-0.08702434876289467,-0.1224698134713389,-0.160791395147994,-0.17045440848574023,,5767.4599609375,5996.1,,,,,0.03166353183194234,0.027688442365190385,,,,,,5208.7998046875,6287.85009765625,,,21.244847246851606,-122.38193345341188,-32.25727817081393,,,,,-0.08697637078220859,0.12758981636174407,0.0,0.040613445579535494,0,1,0,0,0,0.0,0.5,2,DIP WATCH
2008-01-22,5203.35009765625,5203.35009765625,4448.5,4899.2998046875,4899.2998046875,0,-0.05941867831462344,-0.1714639040005338,-0.19343131996748575,-0.22083069274923106,,5532.469921875,5857.244970703125,,,,,0.032421721463537806,0.02953518031343831,,,,,,4899.2998046875,6272.0,,,16.81369380546724,-194.6782541846369,-64.74147337357853,,,,,-0.05843356438877785,0.14507001902413943,0.0,0.08663645463536158,0,1,0,0,0,0.0,0.5,2,DIP WATCH
2008-01-23,4903.0498046875,5328.0498046875,4891.60009765625,5203.39990234375,5203.39990234375,0,0.06207011405288898,-0.08797082003147083,-0.12337953883776276,-0.17037629108039698,,5385.99990234375,5750.3849609375,,,,,0.05736940573647419,0.040014697885443935,,,,,,4899.2998046875,6206.7998046875,,,31.85364415407342,-224.8434178597754,-96.76186227081791,,,,,0.06125781087703902,0.08901596443380765,0.025422932115553874,0.0023352214412147416,1,0,0,0,0,0.0,0.5,2,DIP WATCH
2008-01-24,5208.0,5357.2001953125,4995.7998046875,5033.4501953125,5033.4501953125,0,-0.03266128112788336,-0.03366410995815183,-0.14877730686293922,-0.18247670751914802,,5210.04990234375,5638.0349609375,,,,,0.05618468133690073,0.04029252195473881,,,,,,4899.2998046875,6206.7998046875,,,28.727682160696503,-259.47201653812044,-129.30389312427843,,,,,-0.03351570750528034,0.06939331617223503,0.02864827098934332,0.007229337677611367,0,1,0,0,0,0.0,0.5,2,DIP WATCH
2008-01-25,5035.0498046875,5399.25,5035.0498046875,5383.35009765625,5383.35009765625,0,0.0695149229189953,0.09879989228371477,-0.056429936734741726,-0.13173174418728273,,5145.6599609375,5556.3599609375,,,,,0.07142125599994173,0.048768029393780436,,,,,,4899.2998046875,6206.7998046875,,,41.46428438833149,-255.73349603888164,-154.58981370719908,,,,,0.06917514353969081,0.07233298764461855,0.0031578441049277418,0.0,1,0,0,0,0,0.0,0.25,1,NO DIP
2008-01-28,5380.9501953125,5380.9501953125,5071.0,5274.10009765625,5274.10009765625,0,-0.02029405444902499,0.013587307652570546,0.01253653344672312,-0.15027062840448902,,5158.72001953125,5463.089990234375,5840.514990234375,,-0.09698029942996433,,0.058353230735249485,0.04855243398004396,,6287.85009765625,,-0.16122362719459038,,4899.2998046875,6074.25,4899.2998046875,6287.85009765625,39.113965151061336,-258.6052136415992,-175.39289369407913,5840.514990234375,6804.186768366336,4876.843212102413,0.08145779314126833,-0.019857105860100727,0.057601387127222715,0.0,0.03774428126712199,0,1,0,0,0,0.0,0.25,1,NO DIP
2008-01-29,5279.5498046875,5391.60009765625,5225.25,5280.7998046875,5280.7998046875,0,0.001270303351699198,0.049141165557841315,0.07786826999951968,-0.13062521221755774,-0.14054379702389508,5235.02001953125,5383.744970703125,5797.337475585938,,-0.08909912060039793,,0.04713926976727769,0.04875492472197194,0.03493977985138993,6287.85009765625,,-0.16015812675688956,,4899.2998046875,5935.75,4899.2998046875,6287.85009765625,39.34103877931947,-257.3736173148345,-191.78903841823023,5797.337475585938,6780.86817420548,4813.806776966396,0.09701117002776694,0.00023676261163218412,0.03150838685309009,0.0209866933863139,0.01028493085514401,1,0,0,1,0,0.0,0.25,1,NO DIP
2008-01-30,5283.75,5314.2998046875,5142.25,5167.60009765625,5167.60009765625,0,-0.02143609135320157,-0.04007727457553445,-0.0068800794402472665,-0.12941075724950513,-0.16373755068089058,5227.86005859375,5306.92998046875,5746.747485351562,,-0.10077829053243714,,0.04113833730778818,0.04872580758957724,0.03494905212815807,6287.85009765625,,-0.17816105387397274,,4899.2998046875,5913.2001953125,4899.2998046875,6287.85009765625,36.840957702010705,-262.5058348013181,-205.93239769484782,5746.747485351562,6751.393591341849,4742.101379361276,0.08972788311672186,-0.02198247501182872,0.03256206381594511,0.005781841436006624,0.004797747368109771,0,1,0,0,0,0.0,0.5,2,DIP WATCH
2008-01-31,5172.25,5251.64990234375,5071.14990234375,5137.4501953125,5137.4501953125,0,-0.00583441090138237,-0.025909614875242015,0.02066177193863017,-0.13118953770835473,-0.16850226060897744,5248.66005859375,5229.35498046875,5694.6925048828125,,-0.09785292341816787,,0.037521638054126207,0.04868876044920393,0.034902058509026605,6287.85009765625,,-0.182955999980431,,4899.2998046875,5705.2998046875,4899.2998046875,6287.85009765625,36.18145051298957,-265.9404038474786,-217.93399892537397,5694.6925048828125,6712.929998291464,4676.455011474161,0.09857791483233336,-0.006728175298467785,0.034897771762772485,0.01535113390569868,0.012818462558606022,0,1,0,0,0,0.0,0.25,1,NO DIP
2008-02-01,5140.60009765625,5339.9501953125,5090.75,5317.25,5317.25,0,0.03499786817428463,0.006902400518979057,-0.012278617674341463,-0.06801567279053,-0.15253491775647898,5235.4400390625,5190.55,5646.840014648437,,-0.0583671600033735,,0.022947427921134512,0.05015700989519623,0.03586972005199425,6287.85009765625,,-0.1543612017751559,,4899.2998046875,5383.35009765625,4899.2998046875,6287.85009765625,42.76198508710976,-251.25764128638002,-224.5987273975752,5646.840014648437,6640.033383507598,4653.646645789277,0.14259856940603055,0.034363673304268476,0.0484768685714568,0.004415864856488191,0.009697330410700127,1,0,0,0,0,0.0,0.5,2,DIP WATCH
2008-02-04,5315.5498046875,5545.2001953125,5315.5498046875,5463.5,5463.5,0,0.027504819220461663,0.05726060390740262,0.03591132114233431,0.04889805806767433,-0.12989123998209273,5273.32001953125,5216.02001953125,5606.060009765625,,-0.025429626068449007,,0.023505528911032286,0.04197927687710568,0.03668800512432017,6287.85009765625,,-0.13110205950417309,,4899.2998046875,5463.5,4899.2998046875,6287.85009765625,47.50368842796495,-225.22405077513304,-224.72379207308677,5606.060009765625,6555.980521141957,4656.139498389293,0.17339697444417168,0.027833469866471876,0.04320350651638774,0.015370036649915866,0.0,1,0,0,0,0,0.0,0.25,1,NO DIP
2008-02-05,5463.75,5500.60009765625,5412.9501953125,5483.89990234375,5483.89990234375,0,0.0037338523554040215,0.06743611983768849,0.03846010172094916,0.1193231933054848,-0.127857722882447,5313.9400390625,5274.480029296875,5565.8625,,-0.014725947264462635,,0.023372972949298923,0.03534148560389812,0.03671752322206428,6272.0,,-0.1256537145497848,,5033.4501953125,5483.89990234375,4899.2998046875,6272.0,48.14893307470584,-200.63336456624802,-219.905706571719,5565.8625,6460.7516395329085,4670.973360467092,0.17403793152769476,0.003687925388927019,0.016042077756806224,0.0030565445550217343,0.00929760781285747,1,0,1,0,0,0.0,0.25,1,NO DIP
2008-02-06,5470.39990234375,5470.39990234375,5257.0498046875,5322.5498046875,5322.5498046875,0,-0.029422509624453808,0.0009967191099722328,0.029984848692437893,0.022898471111182817,-0.15137917654854915,5344.92998046875,5286.39501953125,5518.389990234375,,-0.035488645400822194,,0.025995598532335185,0.032646513599324294,0.03706775542719855,6206.7998046875,,-0.1424647206008154,,5033.4501953125,5483.89990234375,4899.2998046875,6206.7998046875,43.585768285403475,-191.95197017498595,-214.3149592923724,5518.389990234375,6354.348227970069,4682.43175249868,0.13670632825502138,-0.027027292390983112,0.039000822876741024,0.0,0.011973530485757913,0,1,0,0,0,0.0,0.25,1,NO DIP
2008-02-07,5322.5498046875,5344.60009765625,5113.85009765625,5133.25,5133.25,0,-0.03556562392723617,-0.06044660016472958,-0.0008175641909545783,0.019827315422816794,-0.16626741533363032,5344.08994140625,5296.375,5467.20498046875,,-0.06108331069747408,,0.03211539150016017,0.0330073473464582,0.03752962797356621,6206.7998046875,,-0.17296349785226417,,5133.25,5483.89990234375,4899.2998046875,6206.7998046875,38.924844633543195,-198.0636601833985,-211.06469947057764,5467.20498046875,6262.930389924664,4671.4795710128365,0.09884885976008784,-0.03556562392723618,0.04335328150368485,0.004142806319882736,0.003644851256565934,0,1,0,0,0,0.0,0.5,2,DIP WATCH
2008-02-08,5132.10009765625,5173.85009765625,5034.25,5120.35009765625,5120.35009765625,0,-0.0025130087846393367,-0.06629402636107984,-0.03703040149395831,-0.04885433702602815,-0.17415041418575883,5304.7099609375,5270.075,5413.21748046875,,-0.054102275378586806,,0.02571174958903947,0.023125369915199916,0.03738426613525783,6206.7998046875,,-0.17504184784737886,,5120.35009765625,5483.89990234375,4899.2998046875,6206.7998046875,38.621748667191504,-201.62393761133262,-209.17654709872863,5413.21748046875,6143.39121008658,4683.04375085092,0.09338079464362692,-0.0022895110727411652,0.02720135909274318,0.00813507125846329,0.016776776761538725,0,1,0,1,0,0.0,0.5,2,DIP WATCH
2008-02-11,5120.5498046875,5126.39990234375,4803.60009765625,4857.0,4857.0,0,-0.051432049104766064,-0.08746743981192928,-0.11100942619200149,-0.07908460020347441,-0.2174711360382695,5183.4099609375,5228.364990234375,5345.727490234375,,-0.09142394391169151,,0.02314050925572595,0.027189288497584257,0.03847776625183341,6074.25,,-0.20039511050747005,,4857.0,5483.89990234375,4857.0,6074.25,32.97642790244484,-223.12360506606547,-211.965958692196,5345.727490234375,6013.951682504873,4677.503297963877,0.03837446830112512,-0.05146904429017346,0.06304006737557746,0.0011424745153136974,0.0104285485700903,0,1,0,0,0,1.0,0.75,3,DIP ZONE
2008-02-12,4877.85009765625,4949.60009765625,4820.4501953125,4838.25,4838.25,0,-0.0038604076590488257,-0.05746846539716555,-0.1177355374535205,-0.08380355647920434,-0.20348191134707994,5054.27998046875,5184.110009765625,5283.927490234375,,-0.08434587549849337,,0.021103422219524447,0.02704567983290151,0.03844031705266362,5935.75,,-0.18489660110348316,,4838.25,5483.89990234375,4838.25,5935.75,32.61094043888403,-238.92108121930596,-217.35698319761804,5283.927490234375,5894.602788357308,4673.252192111442,0.03530684865821665,-0.008118350679795876,0.026476808380356955,0.01470934911150202,0.0036491085890590605,0,1,0,0,0,1.0,0.75,3,DIP ZONE
2008-02-13,4836.5498046875,4986.5498046875,4836.5498046875,4929.4501953125,4929.4501953125,0,0.01884983109853766,-0.037282587851000915,-0.07385550606380464,-0.046085203545793374,-0.16953203970643982,4975.66005859375,5160.29501953125,5233.6125,,-0.05811708541423355,,0.02817809336752093,0.02787302135080177,0.03887071983219919,5913.2001953125,,-0.1663650760175237,,4838.25,5483.89990234375,4838.25,5913.2001953125,36.30861550111807,-241.30004460538657,-222.14559547917176,5233.6125,5780.6697225020835,4686.555277497917,0.05182802792934549,0.0192079880031345,0.031013843764127604,0.011805855760993106,0.0,1,0,0,0,0,1.0,0.5,2,DIP WATCH
2008-02-14,4944.64990234375,5220.25,4944.64990234375,5202.0,5202.0,0,0.05529010211862406,0.0710315009264979,0.013393074562898732,0.01256456067377476,-0.12027331594088109,4989.41005859375,5166.75,5198.052490234375,,0.000759420912551656,,0.03881179651049425,0.03362171025359573,0.041411321165272616,5705.2998046875,,-0.08821618879239035,,4838.25,5483.89990234375,4838.25,5705.2998046875,45.86796785475793,-218.6721819885779,-221.45091278105298,5198.052490234375,5641.81860951012,4754.28637095863,0.09417052194756526,0.05204617166814313,0.05573702953683664,0.003690857868693505,0.0,1,0,0,0,0,0.0,0.25,1,NO DIP
2008-02-15,5202.85009765625,5315.39990234375,5104.75,5302.89990234375,5302.89990234375,0,0.01939636723255478,0.09603676997752286,0.035651820911827725,-0.0026987818244863515,-0.07053089515350908,5025.92001953125,5165.314990234375,5177.9324951171875,,0.02413461499245262,,0.039230634372216626,0.0322415640128324,0.04115568053353604,5483.89990234375,,-0.03300570820460136,,4838.25,5483.89990234375,4838.25,5483.89990234375,48.92424098746976,-190.4028138597996,-215.24129299680231,5177.9324951171875,5556.574558748409,4799.290431485966,0.10493415183916155,0.019229807280546074,0.04048740563151,0.002402529337839452,0.018855069013124472,1,0,0,0,0,0.0,0.0,0,NO DIP
2008-02-18,5304.4501953125,5348.60009765625,5224.0,5276.89990234375,5276.89990234375,0,-0.004902977706312872,0.07048447458940665,0.0864525226155548,-0.03415394850485032,0.013074047805593514,5109.9,5146.65498046875,5181.3375,,0.018443578003507932,,0.02444474942525593,0.030787815079086987,0.03610098965347769,5483.89990234375,,-0.03774685965940605,,4838.25,5483.89990234375,4838.25,5483.89990234375,48.169535382490366,-168.15868995423443,-205.82477238828875,5181.3375,5562.365606269512,4800.3093937304875,0.09928328978872081,-0.005193807454935852,0.023489729014018853,0.008323181615083296,0.009972739943999704,0,1,0,0,0,0.0,0.0,0,NO DIP
2008-02-19,5278.39990234375,5368.4501953125,5262.0,5280.7998046875,5280.7998046875,0,0.0007390517947891695,0.015147982446655162,0.09146898252208957,-0.03703570474899576,0.07786826999951968,5198.4099609375,5126.344970703125,5200.4125,,0.015457870829958198,,0.023535248609141468,0.030729084057052894,0.03316564922882377,5483.89990234375,,-0.03703570474899576,,4838.25,5322.5498046875,4838.25,5483.89990234375,48.29836710274977,-148.5035158816636,-194.36052108696373,5200.4125,5559.559694680131,4841.26530531987,0.09078917837546374,0.0004546647446481612,0.02016713346505506,0.01660548504217744,0.0031069836782294585,1,0,0,1,0,0.0,0.0,0,NO DIP
2008-02-20,5267.14990234375,5267.14990234375,5116.2998046875,5154.4501953125,5154.4501953125,0,-0.02392622595972027,-0.027994061695495898,0.04564403555876395,-0.031582533850027406,-0.00940725447782742,5243.4099609375,5109.535009765625,5197.965014648437,,-0.00837151062258168,,0.029983415291579954,0.030256289101338627,0.030765698903445507,5483.89990234375,,-0.0600758060683142,,4838.25,5302.89990234375,4838.25,5483.89990234375,44.44397858900281,-141.49098633470112,-183.78661413651122,5197.965014648437,5557.693176798951,4838.236852497924,0.06535714402888715,-0.02139671532437333,0.02863979580097492,0.0,0.007243080476601592,0,1,0,0,0,0.0,0.25,1,NO DIP
